time,lead_i_mV,lead_ii_mV,lead_iii_mV
0.444,-6.66301823,-10.7746325,-4.11161423
0.448,-6.67599535,-10.7593164,-4.08332109
0.452,-6.66933155,-10.7524185,-4.08308697
0.456,-6.66360283,-10.7458715,-4.08226871
0.460,-6.65541887,-10.716877,-4.06145811
0.464,-6.63297129,-10.7061214,-4.07315016
0.468,-6.61695433,-10.6878824,-4.0709281
0.472,-6.63682938,-10.7038994,-4.06707001
0.476,-6.63168526,-10.6820374,-4.0503521
0.480,-6.61870766,-10.6618109,-4.04310322
0.484,-6.60467815,-10.629777,-4.0250988
0.488,-6.5908823,-10.61376,-4.02287769
0.492,-6.58679056,-10.6145782,-4.02778769
0.496,-6.58106184,-10.5872202,-4.00615835
0.500,-6.55078125,-10.554718,-4.00393677
0.504,-6.54645538,-10.5119276,-3.96547222
0.508,-6.57638502,-10.5251389,-3.94875383
0.512,-6.54750729,-10.5355444,-3.98803711
0.516,-6.56025124,-10.5334396,-3.9731884
0.520,-6.59240246,-10.551445,-3.95904255
0.524,-6.57673597,-10.5365963,-3.95986032
0.528,-6.5436492,-10.4982491,-3.95459986
0.532,-6.56153727,-10.5105247,-3.94898748
0.536,-6.57930803,-10.542676,-3.96336794
0.540,-6.58410168,-10.5622005,-3.97809887
0.544,-6.590415,-10.5846481,-3.99423313
0.548,-6.60070324,-10.61376,-4.01305676
0.552,-6.62046146,-10.6428709,-4.02240944
0.556,-6.60374308,-10.657836,-4.05409288
0.560,-6.6099391,-10.6677732,-4.05783415
0.564,-6.64115524,-10.6978207,-4.05666542
0.568,-6.65249586,-10.7114992,-4.05900335
0.572,-6.65308046,-10.7353497,-4.08226919
0.576,-6.67833376,-10.7516003,-4.07326651
0.580,-6.69400024,-10.7853889,-4.0913887
0.584,-6.70802975,-10.8080702,-4.10004044
0.588,-6.70966673,-10.8335571,-4.1238904
0.592,-6.71492767,-10.8543673,-4.13943958
0.596,-6.71305704,-10.8715534,-4.15849638
0.600,-6.71855211,-10.8556538,-4.13710165
0.604,-6.71083593,-10.8488722,-4.13803625
0.608,-6.69914436,-10.8528481,-4.15370369
0.612,-6.70557451,-10.8413906,-4.1358161
0.616,-6.75783491,-10.8570566,-4.09922171
0.620,-6.75339222,-10.890377,-4.13698483
0.624,-6.74240255,-10.8886232,-4.14622068
0.628,-6.73152924,-10.8889742,-4.15744495
0.632,-6.73012638,-10.9110708,-4.18094444
0.636,-6.7286067,-10.9090834,-4.18047667
0.640,-6.72696972,-10.9048738,-4.17790413
0.644,-6.721241,-10.8860512,-4.16481018
0.648,-6.72089005,-10.8879213,-4.16703129
0.652,-6.73702431,-10.8948193,-4.15779495
0.656,-6.73842716,-10.906394,-4.16796684
0.660,-6.76403141,-10.9128246,-4.14879322
0.664,-6.71329069,-10.8644218,-4.15113115
0.668,-6.72392988,-10.8867521,-4.16282225
0.672,-6.75023556,-10.909317,-4.15908146
0.676,-6.75058651,-10.8773994,-4.12681293
0.680,-6.72732067,-10.8562384,-4.12891769
0.684,-6.75818586,-10.899847,-4.14166117
0.688,-6.73351669,-10.896924,-4.16340733
0.692,-6.76449919,-10.8968067,-4.13230753
0.696,-6.73760891,-10.8824272,-4.14481831
0.700,-6.7426362,-10.9135256,-4.17088938
0.704,-6.74193478,-10.9167995,-4.17486477
0.708,-6.70615911,-10.8756456,-4.16948652
0.712,-6.7364397,-10.8908443,-4.15440464
0.716,-6.73749208,-10.8938847,-4.15639257
0.720,-6.73655653,-10.8977423,-4.16118574
0.724,-6.73445225,-10.8914289,-4.1569767
0.728,-6.71305704,-10.8644218,-4.1513648
0.732,-6.72708654,-10.8852329,-4.15814638
0.736,-6.73655653,-10.8923645,-4.15580797
0.740,-6.73188019,-10.8826609,-4.15078068
0.744,-6.6835947,-10.8557701,-4.17217541
0.748,-6.7089653,-10.8887405,-4.17977524
0.752,-6.72895718,-10.906394,-4.17743683
0.756,-6.73877811,-10.9088497,-4.1700716
0.760,-6.72603464,-10.9070959,-4.18106127
0.764,-6.72346258,-10.8958721,-4.17240953
0.768,-6.69785833,-10.8866358,-4.18877745
0.772,-6.71165419,-10.8866358,-4.17498159
0.776,-6.71960402,-10.8902597,-4.17065573
0.780,-6.71656466,-10.8977423,-4.18117762
0.784,-6.71270609,-10.8929491,-4.18024302
0.788,-6.70510674,-10.8900261,-4.18491936
0.792,-6.69259739,-10.8976259,-4.20502853
0.796,-6.68055487,-10.8930655,-4.21251059
0.800,-6.69201279,-10.8841801,-4.19216728
0.804,-6.70557451,-10.8712034,-4.16562891
0.808,-6.66512251,-10.8149681,-4.1498456
0.812,-6.69189548,-10.8362455,-4.14435005
0.816,-6.69341564,-10.8333235,-4.13990784
0.820,-6.6813736,-10.8187094,-4.13733578
0.824,-6.6773982,-10.7838688,-4.10647058
0.828,-6.66126442,-10.7742815,-4.11301708
0.832,-6.65483427,-10.7324266,-4.07759237
0.836,-6.66418743,-10.7596674,-4.09547997
0.840,-6.65272951,-10.7704239,-4.11769438
0.844,-6.61683702,-10.7492619,-4.13242483
0.848,-6.64770222,-10.7611876,-4.11348534
0.852,-6.64138889,-10.8018732,-4.16048431
0.856,-6.64945602,-10.8775167,-4.22806072
0.860,-6.6621995,-10.9075632,-4.24536371
0.864,-6.63881683,-10.9024191,-4.26360226
0.868,-6.68745279,-10.9141102,-4.22665739
0.872,-6.65845823,-10.9008989,-4.2424407
0.876,-6.68733597,-10.8785686,-4.19123268
0.880,-6.67564487,-10.9277897,-4.25214481
0.884,-6.75713348,-10.9438066,-4.18667316
0.888,-6.73597193,-10.9844923,-4.24852037
0.892,-6.75362587,-11.0511332,-4.29750729
0.896,-6.76660347,-11.0501976,-4.28359413
0.900,-6.75760126,-11.0093946,-4.25179338
0.904,-6.74286985,-11.0002756,-4.25740576
0.908,-6.75011873,-10.9538612,-4.2037425
0.912,-6.76216078,-10.9429884,-4.18082762
0.916,-6.74298668,-10.9144611,-4.17147446
0.920,-6.7611084,-10.9739704,-4.21286201
0.924,-6.74626064,-10.9933777,-4.24711704
0.928,-6.75900412,-10.9765425,-4.21753836
0.932,-6.74801397,-10.9251003,-4.17708635
0.936,-6.73269844,-10.9270878,-4.19438934
0.940,-6.74123335,-10.9459105,-4.2046771
0.944,-6.72474861,-10.9461451,-4.22139645
0.948,-6.71492767,-10.9731512,-4.25822353
0.952,-6.73760891,-11.0337133,-4.29610443
0.956,-6.74298668,-11.0914679,-4.34848118
0.960,-6.70966673,-11.0563936,-4.34672689
0.964,-6.6493392,-10.825139,-4.17579985
0.968,-6.54189587,-10.6565495,-4.11465359
0.972,-6.32619047,-10.4506655,-4.124475
0.976,-6.09294796,-10.1228399,-4.02989197
0.980,-5.99731255,-9.78320599,-3.78589344
0.984,-5.93675137,-9.12170887,-3.1849575
0.988,-6.0127449,-8.67568398,-2.66293907
0.992,-6.20600319,-8.83047771,-2.62447453
0.996,-6.41235542,-9.39306545,-2.98071003
1.000,-6.68698549,-10.0669546,-3.37996912
1.004,-6.78110075,-10.3663702,-3.58526945
1.008,-6.94840384,-10.6954823,-3.74707842
1.012,-6.98160744,-10.8961058,-3.91449833
1.016,-7.00814676,-11.0070562,-3.99890947
1.020,-6.93273735,-11.0593166,-4.12657928
1.024,-6.9060812,-11.0559263,-4.14984512
1.028,-6.82774925,-11.018631,-4.19088173
1.032,-6.78823233,-10.9927931,-4.20456076
1.036,-6.72147465,-10.9023018,-4.18082714
1.040,-6.71434307,-10.8887405,-4.17439747
1.044,-6.72042274,-10.8873367,-4.16691399
1.048,-6.69563675,-10.8835955,-4.18795872
1.052,-6.72311163,-10.9087324,-4.18562078
1.056,-6.70697737,-10.8860512,-4.17907381
1.060,-6.69458485,-10.8895588,-4.19497395
1.064,-6.69926119,-10.9076805,-4.20841932
1.068,-6.68488073,-10.8781013,-4.19322062
1.072,-6.68078899,-10.8791533,-4.19836426
1.076,-6.67470932,-10.8749447,-4.20023537
1.080,-6.6499238,-10.8606806,-4.21075678
1.084,-6.64396095,-10.8896751,-4.24571419
1.088,-6.69435072,-10.9084988,-4.21414804
1.092,-6.68733597,-10.9088497,-4.22151375
1.096,-6.64232445,-10.834609,-4.19228458
1.100,-6.61824036,-10.8503923,-4.23215199
1.104,-6.62256622,-10.8557701,-4.23320389
1.108,-6.62385225,-10.8409224,-4.2170701
1.112,-6.62011099,-10.8479376,-4.2278266
