time,lead_i_mV,lead_ii_mV,lead_iii_mV
2.228,-6.36208248,-10.6622782,-4.30019569
2.232,-6.37541103,-10.6699953,-4.29458427
2.236,-6.39598751,-10.7069397,-4.31095219
2.240,-6.41831827,-10.7374544,-4.31913614
2.244,-6.41527843,-10.7431831,-4.3279047
2.248,-6.40580845,-10.725646,-4.31983757
2.252,-6.42720366,-10.7295036,-4.30229998
2.256,-6.4268527,-10.7624731,-4.3356204
2.260,-6.43024349,-10.7658644,-4.33562088
2.264,-6.42053938,-10.7485609,-4.32802153
2.268,-6.41504431,-10.7231903,-4.308146
2.272,-6.40756226,-10.7303219,-4.32275963
2.276,-6.41574621,-10.7447023,-4.32895613
2.280,-6.43573809,-10.7616549,-4.32591677
2.284,-6.43410158,-10.7485609,-4.31445932
2.288,-6.43141222,-10.7408447,-4.30943251
2.292,-6.43293238,-10.7420139,-4.30908155
2.296,-6.42030573,-10.7418966,-4.3215909
2.300,-6.42661905,-10.7501974,-4.32357836
2.304,-6.42077351,-10.7594337,-4.33866024
2.308,-6.4392457,-10.7581482,-4.31890249
2.312,-6.4128232,-10.7552252,-4.34240198
2.316,-6.40697765,-10.7458715,-4.33889389
2.320,-6.35167742,-10.5381165,-4.18643904
2.324,-6.2498455,-10.3978205,-4.14797497
2.328,-6.00993919,-10.1983662,-4.18842697
2.332,-5.76874638,-9.9714365,-4.20269012
2.336,-5.6312561,-9.52295685,-3.89170074
2.340,-5.53328276,-8.89454651,-3.36126375
2.344,-5.52673578,-8.44279289,-2.91605711
2.348,-5.70596409,-8.67147541,-2.96551132
2.352,-5.96597958,-9.21196651,-3.24598694
2.356,-6.27416372,-9.86995602,-3.59579229
2.360,-6.45257378,-10.227828,-3.77525425
2.364,-6.60619831,-10.5301666,-3.92396832
2.368,-6.64454556,-10.7328939,-4.08834839
2.372,-6.65191126,-10.7880774,-4.1361661
2.376,-6.590415,-10.8093557,-4.21894073
2.380,-6.55347013,-10.8067837,-4.25331354
2.384,-6.45783472,-10.735116,-4.27728128
2.388,-6.42755413,-10.6758404,-4.24828625
2.392,-6.41656446,-10.6504707,-4.23390627
2.396,-6.4060421,-10.6434555,-4.23741341
2.400,-6.40113163,-10.6461449,-4.24501324
2.404,-6.38745308,-10.6247492,-4.2372961
2.408,-6.3734231,-10.610837,-4.23741388
2.412,-6.39470148,-10.6324654,-4.23776388
2.416,-6.36290121,-10.6120062,-4.24910498
2.420,-6.35179424,-10.6155128,-4.26371861
2.424,-6.36500549,-10.6148119,-4.2498064
2.428,-6.35834122,-10.6056929,-4.24735165
2.432,-6.3605628,-10.6004314,-4.23986864
2.436,-6.34700108,-10.5923643,-4.24536324
2.440,-6.35191107,-10.5804396,-4.2285285
2.444,-6.34290886,-10.5819588,-4.23904991
2.448,-6.33706331,-10.5673447,-4.23028135
2.452,-6.33823252,-10.5715542,-4.23332167
2.456,-6.33846617,-10.5639544,-4.22548819
2.460,-6.33425713,-10.5569391,-4.222682
2.464,-6.32700872,-10.5433779,-4.21636915
2.468,-6.3285284,-10.5319204,-4.20339203
2.472,-6.32373524,-10.5314522,-4.20771694
2.476,-6.31905842,-10.5216312,-4.20257282
2.480,-6.31157589,-10.5009384,-4.18936253
2.484,-6.30841923,-10.4788418,-4.17042255
2.488,-6.30350924,-10.467618,-4.16410875
2.492,-6.29158401,-10.4531202,-4.16153622
2.496,-6.2807107,-10.4285688,-4.14785814
2.500,-6.28164625,-10.4214373,-4.13979101
2.504,-6.27416372,-10.4231901,-4.14902639
2.508,-6.27205944,-10.4133701,-4.14131069
2.512,-6.28445196,-10.3968849,-4.11243296
2.516,-6.28000927,-10.3858948,-4.10588551
2.520,-6.26352453,-10.3501196,-4.08659506
2.524,-6.23944044,-10.3066273,-4.06718683
2.528,-6.22622919,-10.2954044,-4.06917524
2.532,-6.22622919,-10.2740088,-4.04777956
2.536,-6.21231651,-10.2679291,-4.05561256
2.540,-6.21430397,-10.2556534,-4.04134941
2.544,-6.21231651,-10.2363625,-4.02404594
2.548,-6.20074224,-10.2155523,-4.01481009
2.552,-6.19793606,-10.2142658,-4.01632977
2.556,-6.19863749,-10.2085371,-4.00989962
2.560,-6.19688368,-10.2053804,-4.00849676
2.564,-6.20202827,-10.1969633,-3.99493504
2.568,-6.18086672,-10.1810627,-4.00019598
2.572,-6.18460798,-10.1942739,-4.00966597
2.576,-6.20261288,-10.2261915,-4.02357864
2.580,-6.203197,-10.2357779,-4.03258085
2.584,-6.21956491,-10.2658253,-4.04626036
2.588,-6.21594095,-10.2792702,-4.06332922
2.592,-6.23873901,-10.3265028,-4.08776379
2.596,-6.25311947,-10.3537436,-4.10062408
2.600,-6.25206709,-10.3699951,-4.11792803
2.604,-6.27919102,-10.4024963,-4.12330532
2.608,-6.28573799,-10.4205017,-4.13476372
2.612,-6.29555893,-10.4338293,-4.13827038
2.616,-6.31730461,-10.4630585,-4.14575386
2.620,-6.32876253,-10.4941568,-4.16539431
2.624,-6.32046127,-10.4877272,-4.16726589
2.628,-6.34805298,-10.5194101,-4.17135715
2.632,-6.34185648,-10.5254898,-4.18363333
2.636,-6.35156059,-10.5465345,-4.19497395
2.640,-6.35623693,-10.5464172,-4.1901803
2.644,-6.3605628,-10.5522633,-4.19170046
2.648,-6.35132647,-10.5488729,-4.19754648
2.652,-6.35799074,-10.5561209,-4.19813013
2.656,-6.35460043,-10.5683975,-4.21379709
2.660,-6.36371946,-10.5722551,-4.20853567
2.664,-6.33940125,-10.5458326,-4.20643139
2.668,-6.34887123,-10.5498075,-4.20093632
2.672,-6.35530186,-10.5590439,-4.20374203
2.676,-6.36722708,-10.5647726,-4.19754553
2.680,-6.36979914,-10.5726061,-4.20280695
2.684,-6.37833357,-10.5747108,-4.19637728
2.688,-6.36605787,-10.5590439,-4.19298601
2.692,-6.37073421,-10.564539,-4.19380474
2.696,-6.36722708,-10.5596285,-4.19240141
2.700,-6.36839581,-10.5690985,-4.20070267
2.704,-6.37447548,-10.5756454,-4.20116997
2.708,-6.37096834,-10.5653572,-4.19438887
2.712,-6.37330627,-10.5720215,-4.19871521
2.716,-6.38265944,-10.5720215,-4.18936205
2.720,-6.37529373,-10.5624342,-4.18714046
2.724,-6.36710978,-10.5494576,-4.18234777
2.728,-6.36687613,-10.5465345,-4.17965841
2.732,-6.36231661,-10.529933,-4.16761637
2.736,-6.3785677,-10.5555363,-4.17696857
2.740,-6.3728385,-10.5556536,-4.18281507
2.744,-6.36816216,-10.5427933,-4.17463112
2.748,-6.36278439,-10.5314522,-4.16866779
2.752,-6.36594105,-10.5458326,-4.17989159
2.756,-6.36699295,-10.535778,-4.1687851
2.760,-6.37599516,-10.5582256,-4.18223047
2.764,-6.37248802,-10.5323877,-4.15989971
2.768,-6.374125,-10.5329723,-4.15884733
2.772,-6.36266708,-10.5316858,-4.16901875
2.776,-6.36044598,-10.529582,-4.16913605
2.780,-6.35658789,-10.5301666,-4.17357874
2.784,-6.36184883,-10.5364799,-4.17463112
2.788,-6.35658789,-10.5326214,-4.1760335
2.792,-6.37213707,-10.555069,-4.1829319
2.796,-6.36594105,-10.5425596,-4.17661858
2.800,-6.34279203,-10.533206,-4.19041395
2.804,-6.36009502,-10.5418577,-4.1817627
2.808,-6.36862993,-10.5443125,-4.17568254
2.812,-6.37131882,-10.5454817,-4.17416286
2.816,-6.36547327,-10.5388184,-4.17334509
2.820,-6.37225437,-10.5519123,-4.17965794
2.824,-6.36605787,-10.5520296,-4.18597174
2.828,-6.36290121,-10.5489893,-4.18608809
2.832,-6.3549509,-10.5459499,-4.19099903
2.836,-6.36009502,-10.548522,-4.18842697
2.840,-6.32700872,-10.5093555,-4.18234682
2.844,-6.33063316,-10.486908,-4.1562748
2.848,-6.32256603,-10.4484434,-4.12587738
2.852,-6.32619047,-10.4335957,-4.10740519
2.856,-6.3397522,-10.4376879,-4.09793568
2.860,-6.33998585,-10.4360514,-4.09606552
2.864,-6.33834934,-10.4269314,-4.08858204
2.868,-6.3195262,-10.4335957,-4.11406946
2.872,-6.29836464,-10.4091606,-4.11079597
2.876,-6.29099941,-10.3794651,-4.08846569
2.880,-6.29661131,-10.4003925,-4.10378122
2.884,-6.2959094,-10.4008598,-4.10495043
2.888,-6.28433514,-10.3934946,-4.10915947
2.892,-6.2948575,-10.4090443,-4.11418676
2.896,-6.30304146,-10.4443521,-4.14131069
2.900,-6.29088259,-10.4478588,-4.15697622
2.904,-6.30350924,-10.4763861,-4.17287683
2.908,-6.3071332,-10.4726448,-4.16551161
2.912,-6.31555128,-10.4801273,-4.16457605
2.916,-6.33320522,-10.4959106,-4.16270542
2.920,-6.36091375,-10.5196438,-4.15873003
2.924,-6.36208248,-10.535778,-4.17369556
2.928,-6.38733578,-10.5544844,-4.16714859
2.932,-6.38967419,-10.5747108,-4.18503666
2.936,-6.38792038,-10.5810242,-4.19310379
2.940,-6.379035,-10.5747108,-4.19567585
2.944,-6.38113976,-10.572957,-4.19181728
2.948,-6.38815451,-10.5737753,-4.18562078
2.952,-6.38441324,-10.5751781,-4.1907649
2.956,-6.39294767,-10.5682802,-4.17533255
2.960,-6.40639305,-10.5676956,-4.16130257
2.964,-6.39832592,-10.5783348,-4.18000889
2.968,-6.3937664,-10.5669937,-4.17322731
2.972,-6.40557432,-10.5833616,-4.1777873
2.976,-6.40639305,-10.5816088,-4.17521572
2.980,-6.40195036,-10.5851154,-4.18316507
2.984,-6.40019655,-10.5867529,-4.18655634
2.988,-6.38838816,-10.5908442,-4.202456
2.992,-6.38990831,-10.6000805,-4.21017218
2.996,-6.42217636,-10.6407661,-4.21858978
3.000,-6.41095257,-10.6295433,-4.21859074
3.004,-6.33332205,-10.4401426,-4.10682058
3.008,-6.25534058,-10.3086157,-4.05327511
3.012,-6.04092121,-10.1293869,-4.08846569
3.016,-5.8132906,-9.97786713,-4.16457653
3.020,-5.59302568,-9.54189682,-3.94887114
3.024,-5.49435043,-9.17209911,-3.67774868
3.028,-5.45845795,-8.46114826,-3.00269032
3.032,-5.56777239,-8.4175396,-2.84976721
3.036,-5.81095219,-8.87385273,-3.06290054
3.040,-6.1819191,-9.61941051,-3.43749142
3.044,-6.37202024,-9.97447681,-3.60245657
3.048,-6.55487299,-10.2909613,-3.73608828
3.052,-6.61847401,-10.4718266,-3.85335255
3.056,-6.65787411,-10.6070957,-3.94922161
3.060,-6.6178894,-10.6452093,-4.02731991
3.064,-6.55195045,-10.6391296,-4.08717918
3.068,-6.46075773,-10.5916624,-4.13090467
3.072,-6.41925335,-10.5378828,-4.11862946
3.076,-6.37938595,-10.4751005,-4.09571457
3.080,-6.36827898,-10.4665651,-4.09828615
3.084,-6.35892582,-10.464695,-4.10576916
3.088,-6.35682154,-10.4747496,-4.11792803
3.092,-6.34431171,-10.4659805,-4.12166882
3.096,-6.34197378,-10.470891,-4.12891722
3.100,-6.34314251,-10.4699554,-4.12681293
3.104,-6.32876253,-10.4546404,-4.12587786
3.108,-6.33016539,-10.4501972,-4.12003183
3.112,-6.32198143,-10.4447021,-4.12272072
3.116,-6.31636953,-10.4358168,-4.11944723
3.120,-6.30234003,-10.4312572,-4.12891722
3.124,-6.30409336,-10.4227228,-4.11862946
3.128,-6.31134224,-10.4286852,-4.11734295
3.132,-6.30000162,-10.4161758,-4.11617422
3.136,-6.29661131,-10.4186306,-4.12201929
3.140,-6.30222321,-10.4148893,-4.11266613
3.144,-6.29228544,-10.3930264,-4.10074091
3.148,-6.28036022,-10.3786469,-4.09828663
3.152,-6.27673578,-10.3765421,-4.09980631
3.156,-6.27673578,-10.3711643,-4.09442854
3.160,-6.26796722,-10.3629799,-4.09501266
3.164,-6.27124071,-10.3525743,-4.08133364
3.168,-6.26457691,-10.3443909,-4.07981396
3.172,-6.25767899,-10.3263865,-4.06870747
3.176,-6.26247215,-10.324048,-4.06157589
3.180,-6.25791264,-10.3207741,-4.06286144
3.184,-6.23137331,-10.2867527,-4.05537939
3.188,-6.22622919,-10.2606812,-4.03445196
3.192,-6.23289347,-10.2671108,-4.03421736
3.196,-6.21313477,-10.2554197,-4.04228497
3.200,-6.21652555,-10.2410393,-4.02451372
3.204,-6.19606543,-10.2043285,-4.00826311
3.208,-6.18729687,-10.1849203,-3.99762344
3.212,-6.19138908,-10.1762695,-3.98488045
3.216,-6.17958069,-10.1644611,-3.98488045
3.220,-6.15526247,-10.1264639,-3.97120142
3.224,-6.1571331,-10.1216707,-3.96453762
3.228,-6.14450645,-10.0937281,-3.94922161
3.232,-6.15222311,-10.0943127,-3.94208956
3.236,-6.14801407,-10.0847263,-3.93671227
3.240,-6.14170074,-10.062746,-3.9210453
3.244,-6.12825584,-10.0438061,-3.91555023
3.248,-6.12860632,-10.0380774,-3.90947104
3.252,-6.12042236,-10.0390129,-3.91859055
3.256,-6.13410139,-10.0515223,-3.91742086
3.260,-6.13152933,-10.0611095,-3.92958021
3.264,-6.14509106,-10.0799322,-3.93484116
3.268,-6.15210581,-10.1077576,-3.95565176
3.272,-6.15619802,-10.1203842,-3.96418619
3.276,-6.18343878,-10.1595507,-3.97611189
3.280,-6.18682957,-10.1705408,-3.98371124
3.284,-6.19781923,-10.1995354,-4.00171614
3.288,-6.20191097,-10.2230349,-4.02112389
3.292,-6.23230886,-10.2619667,-4.02965784
3.296,-6.24470139,-10.3005486,-4.05584717
3.300,-6.24891043,-10.3115377,-4.06262732
3.304,-6.26516151,-10.3323488,-4.06718731
3.308,-6.27451468,-10.3485994,-4.07408476
3.312,-6.28480291,-10.3593559,-4.07455301
3.316,-6.29076529,-10.3736191,-4.08285379
3.320,-6.2998848,-10.3875322,-4.08764744
3.324,-6.30187225,-10.3966513,-4.09477901
3.328,-6.30643177,-10.3985214,-4.09208965
3.332,-6.3065486,-10.4010935,-4.09454489
3.336,-6.31040668,-10.414773,-4.1043663
3.340,-6.31262827,-10.4138374,-4.10120916
3.344,-6.30970526,-10.398756,-4.08905077
3.348,-6.30374289,-10.3925591,-4.08881617
3.352,-6.3133297,-10.3988724,-4.08554268
3.356,-6.32478714,-10.4165268,-4.09173965
3.360,-6.33343887,-10.4137201,-4.08028126
3.364,-6.31087446,-10.3993397,-4.08846521
3.368,-6.32081223,-10.405303,-4.08449078
3.372,-6.32946396,-10.4125509,-4.08308697
3.376,-6.32373524,-10.4113827,-4.08764744
3.380,-6.32151365,-10.4112654,-4.08975172
3.384,-6.31239462,-10.4090443,-4.09664965
3.388,-6.3144989,-10.4021463,-4.08764744
3.392,-6.31543398,-10.4079914,-4.09255743
3.396,-6.31192684,-10.4084597,-4.09653282
3.400,-6.31917524,-10.4165268,-4.09735155
3.404,-6.31812334,-10.4034319,-4.08530855
3.408,-6.30853653,-10.4022627,-4.09372616
3.412,-6.31286192,-10.4129019,-4.10003996
3.416,-6.32057858,-10.4162922,-4.09571362
3.420,-6.32198143,-10.4178123,-4.09583092
3.424,-6.31017303,-10.4055367,-4.09536362
3.428,-6.31894159,-10.4062376,-4.08729601
3.432,-6.31216049,-10.4008598,-4.08869934
3.436,-6.32642412,-10.4141884,-4.08776426
3.440,-6.31484985,-10.4013281,-4.08647823
3.444,-6.31286192,-10.396534,-4.08367205
3.448,-6.30385971,-10.3878822,-4.08402252
3.452,-6.3083024,-10.4014444,-4.09314203
3.456,-6.3066659,-10.4024963,-4.09583044
3.460,-6.31274509,-10.4124346,-4.09968948
3.464,-6.31204367,-10.4106808,-4.0986371
3.468,-6.3009367,-10.4017954,-4.10085869
3.472,-6.3083024,-10.4141884,-4.10588598
3.476,-6.30432749,-10.4103298,-4.10600233
3.480,-6.31227732,-10.4214373,-4.10915995
3.484,-6.31859064,-10.4258795,-4.10728884
3.488,-6.30736732,-10.4202681,-4.11290073
3.492,-6.30818558,-10.4334793,-4.12529373
3.496,-6.19209051,-10.4325438,-4.24045324
3.500,-6.3218646,-10.4444685,-4.12260389
3.504,-6.3150835,-10.4325438,-4.11746025
3.508,-6.30491209,-10.4299717,-4.1250596
3.512,-6.32057858,-10.4414291,-4.12085056
3.516,-6.32326746,-10.4525356,-4.12926817
3.520,-6.33110046,-10.4468069,-4.11570644
3.524,-6.32654095,-10.4520683,-4.12552738
3.528,-6.31321287,-10.4418964,-4.12868357
3.532,-6.30537987,-10.4374542,-4.13207436
3.536,-6.31800652,-10.4527693,-4.13476276
3.540,-6.3060813,-10.4476252,-4.14154387
3.544,-6.2936883,-10.4283342,-4.13464594
3.548,-6.27544975,-10.3905716,-4.11512184
3.552,-6.28106165,-10.3699951,-4.08893347
3.556,-6.2812953,-10.3412342,-4.05993891
3.560,-6.29555893,-10.355731,-4.06017208
3.564,-6.28433514,-10.3517561,-4.06742096
3.568,-6.25919867,-10.3302441,-4.0710454
3.572,-6.25089788,-10.342988,-4.09209013
3.576,-6.22447538,-10.3176174,-4.09314203
3.580,-6.23792076,-10.3196049,-4.08168411
3.584,-6.22576141,-10.3421698,-4.11640835
3.588,-6.24271393,-10.3452091,-4.10249519
3.592,-6.25721121,-10.361577,-4.10436583
3.596,-6.25043011,-10.3669548,-4.1165247
3.600,-6.24552011,-10.3800497,-4.13452959
3.604,-6.24318171,-10.405654,-4.16247225
3.608,-6.24435091,-10.4086933,-4.1643424
3.612,-6.25802946,-10.4214373,-4.1634078
3.616,-6.26831818,-10.436986,-4.16866779
3.620,-6.29123306,-10.4452868,-4.15405369
3.624,-6.3015213,-10.4525356,-4.15101433
3.628,-6.32583952,-10.4724112,-4.14657164
3.632,-6.3475852,-10.5009384,-4.15335321
3.636,-6.34232426,-10.5093555,-4.16703129
3.640,-6.34314251,-10.520112,-4.17696953
3.644,-6.32502127,-10.5071344,-4.18211317
3.648,-6.34781933,-10.5191765,-4.17135715
3.652,-6.33682919,-10.520463,-4.1836338
3.656,-6.35156059,-10.5311012,-4.17954063
3.660,-6.35775709,-10.5315695,-4.17381239
3.664,-6.35530186,-10.5220995,-4.16679764
3.668,-6.34477949,-10.5087709,-4.16399145
3.672,-6.35424948,-10.5125122,-4.15826273
3.676,-6.35471725,-10.5189428,-4.16422558
3.680,-6.35647106,-10.514266,-4.15779495
3.684,-6.35693836,-10.5225668,-4.16562843
3.688,-6.35670471,-10.524087,-4.16738224
3.692,-6.36360264,-10.5548353,-4.19123268
3.696,-6.37716436,-10.5734243,-4.19625998
3.700,-6.38207483,-10.5814915,-4.19941664
3.704,-6.35693836,-10.5699167,-4.21297836
3.708,-6.30175543,-10.4409609,-4.13920546
3.712,-6.18039894,-10.2604465,-4.08004761
3.716,-6.02911282,-10.1450529,-4.11594009
3.720,-5.67276049,-9.89906693,-4.22630644
3.724,-5.51329041,-9.57486629,-4.06157589
3.728,-5.38947916,-9.02069569,-3.63121653
3.732,-5.36796713,-8.33382893,-2.9658618
3.736,-5.45448303,-8.35674381,-2.90226078
3.740,-5.87420273,-9.05156136,-3.17735863
3.744,-6.10873127,-9.51360321,-3.40487194
3.748,-6.40124893,-10.0263863,-3.62513733
3.752,-6.53008747,-10.2344923,-3.70440483
3.756,-6.63203621,-10.5140324,-3.88199615
3.760,-6.65740633,-10.6149282,-3.95752192
3.764,-6.61157608,-10.6376095,-4.0260334
3.768,-6.53125668,-10.6205406,-4.08928394
3.772,-6.47583961,-10.60429,-4.12845039
3.776,-6.41095257,-10.5111094,-4.10015678
3.780,-6.38511467,-10.4835176,-4.09840298
3.784,-6.37202024,-10.4693718,-4.09735155
3.788,-6.37202024,-10.4624739,-4.09045362
3.792,-6.36477184,-10.467267,-4.10249519
3.796,-6.33893394,-10.4545231,-4.11558914
3.800,-6.34173965,-10.4747496,-4.13300991
3.804,-6.33554316,-10.4562769,-4.12073374
3.808,-6.34407806,-10.4501972,-4.10611916
3.812,-6.33542633,-10.442481,-4.10705471
3.816,-6.34010315,-10.4501972,-4.11009407
3.820,-6.34021997,-10.4521847,-4.1119647
3.824,-6.33028221,-10.4320755,-4.10179329
3.828,-6.31379747,-10.4197998,-4.10600233
3.832,-6.308887,-10.4109144,-4.10202742
3.836,-6.29637718,-10.4152403,-4.11886311
3.840,-6.33390665,-10.4360514,-4.10214472
3.844,-6.32619047,-10.4031982,-4.07700777
3.848,-6.30865335,-10.3675394,-4.05888605
3.852,-6.30993938,-10.3890514,-4.07911205
3.856,-6.30783463,-10.4092779,-4.10144329
3.860,-6.31379747,-10.4452868,-4.13148928
3.864,-6.30350924,-10.4334793,-4.12997007
3.868,-6.2959094,-10.414422,-4.11851263
3.872,-6.28456926,-10.3888178,-4.10424852
3.876,-6.27311134,-10.3627462,-4.0896349
3.880,-6.27661896,-10.3654356,-4.08881664
3.884,-6.2818799,-10.3846092,-4.10272932
3.888,-6.29064846,-10.3733854,-4.08273697
3.892,-6.28000927,-10.3620443,-4.08203506
3.896,-6.25323629,-10.3260355,-4.07279921
3.900,-6.2548728,-10.2989111,-4.0440383
3.904,-6.25136566,-10.3038216,-4.0524559
3.908,-6.23605013,-10.2907276,-4.05467749
3.912,-6.2296195,-10.2964563,-4.06683683
3.916,-6.21535635,-10.2846479,-4.06929159
3.920,-6.21652555,-10.2819586,-4.06543303
3.924,-6.19384432,-10.2509766,-4.05713224
3.928,-6.19723463,-10.2416239,-4.04438925
3.932,-6.20343113,-10.2417412,-4.03831005
3.936,-6.20682144,-10.2530813,-4.04625988
3.940,-6.17887926,-10.224905,-4.04602575
3.944,-6.19700098,-10.2370644,-4.04006338
3.948,-6.18589401,-10.2198782,-4.03398418
3.952,-6.19548082,-10.2396364,-4.0441556
3.956,-6.21407032,-10.2609148,-4.04684448
3.960,-6.2021451,-10.2474699,-4.0453248
3.964,-6.21512222,-10.271203,-4.05608082
3.968,-6.22482634,-10.2687473,-4.04392099
3.972,-6.23558235,-10.2499247,-4.01434231
3.976,-6.27767134,-10.2847652,-4.00709391
3.980,-6.2544055,-10.337142,-4.08273649
3.984,-6.27030563,-10.4002752,-4.1299696
3.988,-6.27018881,-10.3750219,-4.10483313
3.992,-6.30234003,-10.3716316,-4.06929159
3.996,-6.31181002,-10.4031982,-4.09138823
4.000,-6.33682919,-10.417696,-4.08086681
4.004,-6.36839581,-10.4900646,-4.12166882
4.008,-6.35460043,-10.4669161,-4.11231565
4.012,-6.3679285,-10.5098238,-4.14189529
4.016,-6.36781168,-10.5095892,-4.14177752
4.020,-6.36407042,-10.5163708,-4.15230036
4.024,-6.3471179,-10.4934559,-4.14633799
4.028,-6.41048479,-10.6031208,-4.19263601
4.032,-6.37845039,-10.5880384,-4.20958805
4.036,-6.41177082,-10.6274385,-4.21566772
4.040,-6.39306498,-10.6164484,-4.22338343
4.044,-6.36243343,-10.5127459,-4.15031242
4.048,-6.39049244,-10.5454817,-4.15498924
4.052,-6.41644764,-10.5927153,-4.17626762
4.056,-6.42580032,-10.6146946,-4.18889427
4.060,-6.43293238,-10.6008987,-4.16796637
4.064,-6.43269825,-10.6116552,-4.17895699
4.068,-6.43842745,-10.6369085,-4.19848108
4.072,-6.44368839,-10.6113043,-4.16761589
4.076,-6.44871569,-10.6175003,-4.16878462
4.080,-6.4532752,-10.6434555,-4.1901803
4.084,-6.44474077,-10.6497688,-4.20502806
4.088,-6.45292425,-10.6384287,-4.18550444
4.092,-6.45467806,-10.6410007,-4.18632269
4.096,-6.45760107,-10.6303616,-4.17276049
4.100,-6.45456123,-10.6493015,-4.1947403
4.104,-6.44287014,-10.6287241,-4.18585396
4.108,-6.43959618,-10.6334009,-4.19380474
4.112,-6.45877028,-10.6363239,-4.17755365
4.116,-6.45596409,-10.6193714,-4.16340733
4.120,-6.4594717,-10.6082649,-4.14879322
4.124,-6.47735929,-10.6296597,-4.15230036
4.128,-6.46461582,-10.6355057,-4.17088985
4.132,-6.48028231,-10.62358,-4.14329767
4.136,-6.46940947,-10.6208916,-4.15148211
4.140,-6.4718647,-10.6295433,-4.1576786
4.144,-6.47689199,-10.6370249,-4.16013288
4.148,-6.47350121,-10.6601744,-4.18667316
4.152,-6.4718647,-10.6557312,-4.1838665
4.156,-6.47303343,-10.629426,-4.15639257
4.160,-6.46894169,-10.625802,-4.15686035
4.164,-6.47361803,-10.6249828,-4.1513648
4.168,-6.46332979,-10.6308289,-4.16749907
4.172,-6.45935488,-10.6248665,-4.16551161
4.176,-6.46192694,-10.6289587,-4.16703176
4.180,-6.45467806,-10.6355057,-4.18082762
4.184,-6.45397663,-10.6248665,-4.17088985
4.188,-6.45736742,-10.6316471,-4.17427969
4.192,-6.46344662,-10.6448584,-4.18141174
4.196,-6.44965076,-10.6390133,-4.18936253
4.200,-6.44310379,-10.6471968,-4.20409298
4.204,-6.44251919,-10.6524582,-4.209939
4.208,-6.45362616,-10.651289,-4.19766283
4.212,-6.45783472,-10.6733856,-4.2155509
4.216,-6.45397663,-10.6799326,-4.22595596
4.220,-6.44170094,-10.650938,-4.2092371
4.224,-6.44181776,-10.6470795,-4.20526171
4.228,-6.43468618,-10.6348038,-4.20011759
4.232,-6.42077351,-10.6419353,-4.22116184
4.236,-6.41212177,-10.6399479,-4.22782612
4.240,-6.41481066,-10.6282568,-4.21344614
4.244,-6.40522385,-10.5969238,-4.19169998
4.248,-6.40405464,-10.5848818,-4.18082714
4.252,-6.41562891,-10.5651236,-4.14949465
4.256,-6.43655682,-10.5626688,-4.12611198
4.260,-6.3998456,-10.5627851,-4.16293955
4.264,-6.37774897,-10.5416241,-4.1638751
4.268,-6.37225437,-10.5213976,-4.14914322
4.272,-6.37050056,-10.5488729,-4.17837238
4.276,-6.37178659,-10.5597458,-4.18795919
4.280,-6.38944054,-10.5440788,-4.15463829
4.284,-6.40919876,-10.5564718,-4.14727306
4.288,-6.39481831,-10.5688648,-4.17404652
4.292,-6.37938595,-10.5810242,-4.20163822
4.296,-6.39750767,-10.6238136,-4.22630596
4.300,-6.40849733,-10.6329336,-4.22443628
4.304,-6.38733578,-10.6135254,-4.22618961
4.308,-6.40218401,-10.6384287,-4.23624468
4.312,-6.42299461,-10.6712809,-4.24828625
4.316,-6.45023537,-10.6847258,-4.23449039
4.320,-6.46578503,-10.7021465,-4.2363615
4.324,-6.4796977,-10.7269316,-4.24723387
4.328,-6.47747612,-10.7401428,-4.2626667
4.332,-6.48332214,-10.7447023,-4.2613802
4.336,-6.48355579,-10.7389736,-4.25541782
4.340,-6.497118,-10.7378044,-4.24068642
4.344,-6.48612785,-10.7271652,-4.24103737
4.348,-6.49828672,-10.7584982,-4.26021147
4.352,-6.50074196,-10.7528868,-4.25214481
4.356,-6.49431181,-10.7485609,-4.2542491
4.360,-6.4931426,-10.7659807,-4.27283812
4.364,-6.48460817,-10.7592001,-4.27459192
4.368,-6.49618244,-10.7466898,-4.25050735
4.372,-6.48706341,-10.7382727,-4.25120926
4.376,-6.48624468,-10.7492619,-4.26301718
4.380,-6.49325943,-10.759551,-4.26629162
4.384,-6.47934675,-10.7763863,-4.29703951
4.388,-6.47712564,-10.7734632,-4.2963376
4.392,-6.4919734,-10.8064327,-4.31445932
4.396,-6.47221518,-10.7810631,-4.3088479
4.400,-6.42241001,-10.6357393,-4.21332932
4.404,-6.29333735,-10.4380388,-4.14470148
4.408,-6.12544966,-10.3076801,-4.18223047
4.412,-5.79236317,-10.0148115,-4.22244835
4.416,-5.68784237,-9.71036911,-4.02252674
4.420,-5.57712555,-9.13936329,-3.56223774
4.424,-5.57279968,-8.4714365,-2.89863682
4.428,-5.71765518,-8.5753727,-2.85771751
4.432,-6.09271383,-9.32993221,-3.23721838
4.436,-6.3021059,-9.77338505,-3.47127914
4.440,-6.56258917,-10.2969236,-3.73433447
4.444,-6.68429613,-10.4895973,-3.80530119
4.448,-6.74719572,-10.7316084,-3.98441267
4.452,-6.77712584,-10.8125124,-4.03538656
4.456,-6.72872353,-10.8706188,-4.14189529
4.460,-6.65834141,-10.8796206,-4.22127914
4.464,-6.59310389,-10.8321543,-4.23905039
4.468,-6.52704763,-10.7312574,-4.2042098
